Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
1960000	-15.67	-15.67	4606	0.0784	8.8e-05
1970000	-15.31	-15.28	4623	0.07817500000000001	8.787500000000001e-05
1980000	-15.21	-15.19	4640	0.07795	8.775e-05
1990000	-15.22	-15.15	4658	0.077725	8.7625e-05
2000000	-15.24	-15.15	4676	0.0775	8.75e-05
2010000	-15.5	-15.15	4693	0.07727500000000001	8.737500000000001e-05
2020000	-15.6	-15.15	4711	0.07705000000000001	8.725e-05
2030000	-15.59	-15.15	4729	0.076825	8.7125e-05
2040000	-15.82	-15.15	4747	0.0766	8.7e-05
2050000	-15.74	-15.15	4763	0.076375	8.687500000000001e-05
2060000	-15.6	-15.15	4781	0.07615	8.675000000000001e-05
2070000	-15.64	-15.15	4799	0.075925	8.6625e-05
2080000	-15.45	-15.15	4816	0.0757	8.65e-05
2090000	-15.47	-15.15	4834	0.075475	8.6375e-05
2100000	-15.32	-15.15	4851	0.07525	8.625000000000001e-05
2110000	-15.63	-15.15	4869	0.07502500000000001	8.6125e-05
2120000	-15.58	-15.15	4887	0.0748	8.6e-05
2130000	-15.63	-15.15	4905	0.074575	8.5875e-05
2140000	-15.45	-15.15	4922	0.07435	8.575000000000001e-05
2150000	-15.51	-15.15	4940	0.074125	8.562500000000001e-05
2160000	-15.52	-15.15	4958	0.07390000000000001	8.55e-05
2170000	-15.58	-15.15	4976	0.073675	8.5375e-05
2180000	-15.6	-15.15	4994	0.07345	8.525000000000001e-05
2190000	-15.91	-15.15	5014	0.073225	8.512500000000001e-05
2200000	-15.82	-15.15	5031	0.07300000000000001	8.5e-05
2210000	-15.91	-15.15	5048	0.072775	8.4875e-05
2220000	-15.92	-15.15	5066	0.07255	8.475e-05
2230000	-15.9	-15.15	5084	0.072325	8.462500000000001e-05
2240000	-16.03	-15.15	5103	0.0721	8.450000000000001e-05
2250000	-15.78	-15.15	5121	0.071875	8.4375e-05
2260000	-15.95	-15.15	5139	0.07165	8.425e-05
2270000	-15.81	-15.15	5157	0.071425	8.4125e-05
2280000	-15.87	-15.15	5173	0.0712	8.400000000000001e-05
2290000	-15.51	-15.15	5190	0.070975	8.3875e-05
2300000	-15.37	-15.15	5208	0.07075000000000001	8.375e-05
2310000	-15.39	-15.15	5226	0.070525	8.3625e-05
2320000	-15.16	-15.15	5243	0.0703	8.35e-05
2330000	-15.27	-15.1	5259	0.070075	8.337500000000001e-05
2340000	-15.2	-15.1	5277	0.06985	8.325e-05
2350000	-15.22	-15.1	5292	0.06962499999999999	8.3125e-05
2360000	-15.01	-14.9	5309	0.0694	8.3e-05
2370000	-15.01	-14.86	5326	0.069175	8.2875e-05
2380000	-15.07	-14.86	5342	0.06895000000000001	8.275e-05
2390000	-15.03	-14.86	5358	0.06872500000000001	8.2625e-05
2400000	-15.11	-14.86	5375	0.0685	8.25e-05
2410000	-15.39	-14.86	5391	0.068275	8.237500000000001e-05
2420000	-15.51	-14.86	5408	0.06805	8.225000000000001e-05
2430000	-15.38	-14.86	5424	0.067825	8.2125e-05
2440000	-15.42	-14.86	5440	0.0676	8.2e-05
2450000	-15.51	-14.86	5457	0.067375	8.1875e-05
2460000	-15.47	-14.86	5474	0.06715	8.175000000000001e-05
2470000	-15.36	-14.86	5490	0.06692500000000001	8.1625e-05
2480000	-15.44	-14.86	5508	0.06670000000000001	8.15e-05
2490000	-15.57	-14.86	5525	0.066475	8.1375e-05
2500000	-15.42	-14.86	5542	0.06625	8.125e-05
2510000	-15.48	-14.86	5559	0.066025	8.112500000000001e-05
2520000	-15.59	-14.86	5575	0.0658	8.1e-05
2530000	-15.58	-14.86	5592	0.065575	8.0875e-05
2540000	-15.42	-14.86	5608	0.06534999999999999	8.075000000000001e-05
2550000	-15.25	-14.86	5626	0.065125	8.062500000000001e-05
2560000	-15.3	-14.86	5643	0.0649	8.05e-05
2570000	-15.39	-14.86	5660	0.06467500000000001	8.0375e-05
2580000	-15.19	-14.86	5676	0.06445000000000001	8.025e-05
2590000	-15.24	-14.86	5694	0.064225	8.012500000000001e-05
2600000	-15.39	-14.86	5710	0.064	8e-05
2610000	-15.59	-14.86	5728	0.063775	7.9875e-05
2620000	-15.33	-14.86	5744	0.06355	7.975e-05
2630000	-15.4	-14.86	5762	0.063325	7.9625e-05
2640000	-15.67	-14.86	5780	0.0631	7.950000000000001e-05
2650000	-15.37	-14.86	5796	0.062875	7.9375e-05
2660000	-15.18	-14.86	5812	0.06265000000000001	7.925e-05
2670000	-15.22	-14.86	5829	0.062425	7.912500000000001e-05
2680000	-15.26	-14.86	5845	0.062200000000000005	7.900000000000001e-05
2690000	-15.18	-14.86	5861	0.061975	7.8875e-05
2700000	-15.03	-14.86	5878	0.06175	7.875e-05
2710000	-15.38	-14.86	5895	0.061525	7.8625e-05
2720000	-15.53	-14.86	5911	0.0613	7.850000000000001e-05
2730000	-15.4	-14.86	5926	0.061075000000000004	7.837500000000001e-05
2740000	-15.4	-14.86	5942	0.06085	7.825e-05
2750000	-15.45	-14.86	5960	0.060625	7.8125e-05
2760000	-15.22	-14.86	5977	0.0604	7.8e-05
2770000	-15.31	-14.86	5996	0.060175	7.787500000000001e-05
2780000	-15.22	-14.86	6012	0.05995	7.775e-05
2790000	-15.11	-14.86	6029	0.059725	7.7625e-05
2800000	-15.16	-14.86	6045	0.0595	7.75e-05
2810000	-14.98	-14.86	6061	0.059275	7.7375e-05
2820000	-14.96	-14.86	6078	0.05905	7.725000000000001e-05
2830000	-14.8	-14.76	6095	0.058825	7.7125e-05
2840000	-14.83	-14.75	6111	0.0586	7.7e-05
